Date,Open,High,Low,Close,C Simple 5,10,25,75,200,Volume,Simple 5,10,25,75,
12/09/2018,61.5,62.5,60.75,62.25, , , , , ,44382655, , , , ,
13/09/2018,63,65.25,62.75,64.5, , , , , ,43170324, , , , ,
14/09/2018,64.75,65.25,64.5,64.5, , , , , ,19511964, , , , ,
17/09/2018,64.5,64.75,64,64.5, , , , , ,16795720, , , , ,
18/09/2018,64.25,66.5,64.25,66,64.35, , , , ,33329457,31438024, , , ,
19/09/2018,66.25,66.75,66,66,65.1, , , , ,29304458,28422385, , , ,
20/09/2018,66.25,66.75,66.25,66.25,65.45, , , , ,15908522,22970024, , , ,
21/09/2018,66.5,67.25,66,66.5,65.85, , , , ,56165960,30300823, , , ,
24/09/2018,66.25,66.5,66,66,66.15, , , , ,8576669,28657013, , , ,
25/09/2018,66.25,66.75,66,66.5,66.25,65.3, , , ,11715114,24334145,27886084, , ,
26/09/2018,66.25,66.5,64.5,65,66.05,65.58, , , ,50791664,28631586,28526985, , ,
27/09/2018,64.75,65.5,64.25,65.25,65.85,65.65, , , ,33311256,32112133,27541078, , ,
28/09/2018,65.25,65.5,64.75,65.5,65.65,65.75, , , ,18842613,24647463,27474143, , ,
01/10/2018,65.5,65.75,64.75,65,65.45,65.8, , , ,15442314,26020592,27338803, , ,
02/10/2018,64.75,65,64,64.5,65.05,65.65, , , ,33198937,30317357,27325751, , ,
03/10/2018,64.75,64.75,64.25,64.25,64.9,65.47, , , ,11225062,22404036,25517811, , ,
04/10/2018,64.25,64.5,63.25,63.5,64.55,65.2, , , ,23779352,20497656,26304894, , ,
05/10/2018,63,63.5,62.75,63,64.05,64.85, , , ,21693691,21067871,22857667, , ,
08/10/2018,63,63.5,62,62.25,63.5,64.47, , , ,21486627,22276734,24148663, , ,
09/10/2018,62.5,62.75,62,62.25,63.05,64.05, , , ,19601954,19557337,24937347, , ,
10/10/2018,62.5,63.25,62.5,63,62.8,63.85, , , ,13058318,19923988,21164012, , ,
11/10/2018,61.75,62.5,61.25,62.5,62.6,63.58, , , ,38349059,22837930,21667793, , ,
