Date,Open,High,Low,Close,C Simple 5,10,25,75,200,Volume,Simple 5,10,25,75,
16/04/2021,3.76,3.76,3.64,3.74,3.78,3.81,3.78,3.66,3.63,14300,30190.6,33499.6,42941.76,39357.17,
12/04/2021,3.82,3.82,3.74,3.76,3.81,3.82,3.77,3.66,3.63,28153,29766.6,35691.2,45669.76,39368.33,
09/04/2021,3.84,3.84,3.8,3.82,3.83,3.83,3.77,3.66,3.64,25150,30919.4,39314.3,46258.12,39220.16,
08/04/2021,3.78,3.86,3.78,3.82,3.84,3.83,3.77,3.65,3.64,14549,33717.8,42251.4,46012.48,39088.84,
07/04/2021,3.84,3.84,3.78,3.78,3.84,3.83,3.76,3.65,3.64,68801,39054,45075.5,47287.36,39513.83,
05/04/2021,3.86,3.9,3.84,3.86,3.84,3.83,3.76,3.65,3.64,12180,36808.6,42442,46521.72,38863.24,
02/04/2021,3.86,3.88,3.84,3.86,3.84,3.82,3.75,3.64,3.64,33917,41615.8,49240.6,47044.8,39486.72,
01/04/2021,3.86,3.88,3.84,3.88,3.82,3.81,3.74,3.64,3.64,39142,47709.2,47420.7,46520.32,39327.44,
31/03/2021,3.84,3.86,3.82,3.82,3.81,3.79,3.74,3.63,3.64,41230,50785,46079.6,47832.36,38896.35,
30/03/2021,3.86,3.86,3.8,3.8,3.81,3.78,3.74,3.63,3.64,57574,51097,44597.7,48716.88,38849.43,
29/03/2021,3.84,3.86,3.82,3.82,3.81,3.77,3.74,3.62,3.64,36216,48075.4,51189.5,48522.28,38917.79,
26/03/2021,3.82,3.84,3.8,3.8,3.8,3.76,3.74,3.62,3.64,64384,56865.4,50794.6,47831.44,38545.6,
25/03/2021,3.82,3.84,3.8,3.82,3.79,3.76,3.74,3.62,3.64,54521,47132.2,54352.8,46686.32,37864.48,
24/03/2021,3.78,3.84,3.76,3.82,3.77,3.74,3.74,3.61,3.64,42790,41374.2,53374.4,51064.4,37422.87,
23/03/2021,3.8,3.82,3.76,3.78,3.75,3.73,3.74,3.61,3.64,42466,38098.4,50866.4,49710.4,36989.67,
22/03/2021,3.74,3.8,3.72,3.78,3.74,3.72,3.73,3.6,3.64,80166,54303.6,49817.1,49122.28,36626.12,
19/03/2021,3.72,3.74,3.7,3.74,3.73,3.71,3.72,3.6,3.65,15718,44723.8,50050.5,46894,35765.24,
18/03/2021,3.72,3.74,3.7,3.72,3.73,3.71,3.72,3.6,3.65,25731,61573.4,52764.9,47711,35877.47,
17/03/2021,3.72,3.74,3.7,3.72,3.72,3.71,3.72,3.6,3.65,26411,65374.6,52092.7,48222.92,36347.52,
16/03/2021,3.74,3.8,3.72,3.72,3.71,3.7,3.73,3.59,3.65,123492,63634.4,54093.7,51576.64,36515.49,
15/03/2021,3.74,3.76,3.72,3.74,3.7,3.7,3.72,3.59,3.65,32267,45330.6,46710.5,53485.6,35074.35,
12/03/2021,3.68,4,3.68,3.74,3.7,3.69,3.71,3.59,3.65,99966,55377.2,46009.5,54736.12,34816.13,
11/03/2021,3.68,3.72,3.68,3.68,3.69,3.69,3.7,3.58,3.65,44737,43956.4,38093.4,52836.48,33933.75,
10/03/2021,3.68,3.7,3.66,3.68,3.69,3.7,3.7,3.58,3.65,17710,38810.8,40814,55561.4,33582.85,
09/03/2021,3.7,3.7,3.64,3.68,3.69,3.71,3.69,3.58,3.65,31973,44553,45377.3,55483.44,33641.75,
08/03/2021,3.7,3.72,3.6,3.7,3.69,3.72,3.69,3.58,3.65,82500,48090.4,47450.9,54999.52,33557.88,
05/03/2021,3.7,3.72,3.62,3.7,3.69,3.73,3.68,3.58,3.66,42862,36641.8,41095.4,54064.76,32592.69,
04/03/2021,3.7,3.7,3.68,3.7,3.7,3.74,3.67,3.57,3.66,19009,32230.4,40384.8,53153.64,32098.07,
03/03/2021,3.64,3.7,3.62,3.66,3.7,3.77,3.66,3.57,3.66,46421,42817.2,54881.2,53849.28,32169.67,
02/03/2021,3.6,3.7,3.58,3.7,3.74,3.77,3.66,3.57,3.66,49660,46201.6,51133.1,53200.88,31847.12,
01/03/2021,3.72,3.74,3.66,3.7,3.76,3.76,3.65,3.56,3.66,25257,46811.4,48943.4,51506.88,31347.65,
25/02/2021,3.74,3.76,3.7,3.72,3.78,3.75,3.64,3.56,3.66,20805,45549,48863.6,51189.32,31225.96,
24/02/2021,3.82,3.82,3.6,3.74,3.79,3.75,3.63,3.55,3.66,71943,48539.2,50397.4,50969.12,31071.23,
23/02/2021,3.92,3.92,3.8,3.82,3.83,3.75,3.62,3.55,3.66,63343,66945.2,47056,48571.8,30226.65,
22/02/2021,3.8,3.9,3.8,3.8,3.8,3.75,3.61,3.54,3.66,52709,56064.6,51747.1,46402.48,29518.09,
19/02/2021,3.8,3.9,3.74,3.8,3.76,3.73,3.6,3.54,3.67,18945,51075.4,63597.8,44552.16,29051.31,
18/02/2021,3.94,3.94,3.8,3.8,3.73,3.7,3.59,3.53,3.67,35756,52178.2,68056.3,44442.4,28924.04,
17/02/2021,3.7,4.2,3.7,3.94,3.71,3.67,3.58,3.53,3.67,163973,52255.6,69728.2,43893.4,28465.16,
16/02/2021,3.6,3.7,3.6,3.64,3.68,3.63,3.56,3.52,3.67,8940,27166.8,64616.9,38102.48,26304.19,
15/02/2021,3.64,3.64,3.6,3.62,3.71,3.62,3.56,3.52,3.67,27763,47429.6,65299,38046.44,26288.99,
11/02/2021,3.7,3.72,3.6,3.64,3.7,3.61,3.56,3.51,3.67,24459,76120.2,64510.2,37364.16,26108.15,
10/02/2021,3.7,3.78,3.68,3.7,3.68,3.59,3.55,3.51,3.67,36143,83934.4,67977.4,37439.92,26028.08,
09/02/2021,3.8,3.84,3.72,3.78,3.64,3.57,3.55,3.51,3.67,38529,87200.8,66371.5,38130.6,25620.85,
08/02/2021,4.2,4.2,3.62,3.8,3.59,3.54,3.54,3.5,3.68,110254,102067,66158.6,36932.72,25228.47,
05/02/2021,3.54,4.54,3.52,3.6,3.54,3.52,3.53,3.5,3.68,171216,83168.4,58154.3,33035.08,23769.08,
04/02/2021,3.54,3.56,3.5,3.5,3.52,3.51,3.52,3.5,3.68,63530,52900.2,41763.7,26378.52,21590.2,
03/02/2021,3.54,3.56,3.5,3.5,3.51,3.51,3.52,3.5,3.68,52475,52020.4,37142.5,24118.64,20755.13,
02/02/2021,3.52,3.56,3.52,3.54,3.51,3.51,3.53,3.5,3.68,112860,45542.2,33425,22227.92,20116.39,
01/02/2021,3.54,3.54,3.52,3.54,3.5,3.51,3.53,3.5,3.68,15761,30250.2,23340,19210.68,18755.36,
29/01/2021,3.54,3.54,3.48,3.5,3.5,3.51,3.52,3.5,3.69,19875,33140.2,22674.9,20260.68,19198.53,
28/01/2021,3.5,3.54,3.4,3.48,3.5,3.52,3.53,3.49,3.69,59131,30627.2,21332.5,20130.24,24617.79,
27/01/2021,3.52,3.54,3.5,3.5,3.51,3.52,3.53,3.49,3.69,20084,22264.6,17039.5,18370.48,25840.04,
26/01/2021,3.54,3.54,3.48,3.48,3.52,3.52,3.53,3.49,3.69,36400,21307.8,17234.2,18248.72,25696.27,
25/01/2021,3.54,3.54,3.52,3.54,3.53,3.53,3.53,3.49,3.7,30211,16429.8,15514.2,17404.76,25314.01,
22/01/2021,3.54,3.54,3.5,3.52,3.52,3.53,3.53,3.49,3.7,7310,12209.6,13247,18053.24,38285.92,
21/01/2021,3.54,3.54,3.5,3.5,3.53,3.53,3.53,3.5,3.7,17318,12037.8,13586.6,18561.12,38232.45,
20/01/2021,3.54,3.54,3.5,3.54,3.53,3.53,3.53,3.5,3.7,15300,11814.4,14490.1,20226.04,38016.21,
19/01/2021,3.56,3.56,3.52,3.54,3.53,3.53,3.53,3.5,3.7,12010,13160.6,18301.1,20492.88,38170.88,
18/01/2021,3.54,3.56,3.52,3.52,3.53,3.53,3.53,3.5,3.71,9110,14598.6,17958.3,20284.88,38089.41,
15/01/2021,3.54,3.56,3.52,3.54,3.54,3.54,3.53,3.5,3.71,6451,14284.4,18328.6,21428.92,38069.28,
14/01/2021,3.54,3.54,3.52,3.52,3.53,3.53,3.53,3.5,3.71,16201,15135.4,18163.7,23678.92,38037.96,
13/01/2021,3.54,3.54,3.52,3.54,3.54,3.53,3.53,3.5,3.71,22031,17165.8,17246.9,23362.96,37860.64,
12/01/2021,3.54,3.54,3.52,3.54,3.53,3.53,3.53,3.5,3.71,19200,23441.6,15564.5,23013.72,39419.49,
11/01/2021,3.56,3.56,3.52,3.54,3.53,3.53,3.53,3.51,3.71,7539,21318,17387.4,23101.72,39363.36,
08/01/2021,3.54,3.54,3.52,3.52,3.54,3.53,3.53,3.51,3.72,10706,22372.8,20834.6,23212.16,39546.84,
07/01/2021,3.54,3.54,3.5,3.54,3.53,3.53,3.53,3.5,3.72,26353,21192,21425.4,23391.92,39948.12,
06/01/2021,3.48,3.54,3.46,3.52,3.53,3.53,3.53,3.5,3.72,53410,17328,20303.8,22961.8,39643.41,
05/01/2021,3.54,3.54,3.52,3.54,3.54,3.53,3.53,3.5,3.72,8582,7687.4,16666.8,21790.8,39109.95,
04/01/2021,3.5,3.56,3.48,3.56,3.54,3.53,3.53,3.5,3.72,12813,13456.8,17338.7,23886.92,39148.92,
30/12/2020,3.5,3.56,3.5,3.5,3.53,3.53,3.53,3.5,3.73,4802,19296.4,20699.7,24934.76,66032.69,
29/12/2020,3.54,3.56,3.5,3.54,3.54,3.53,3.53,3.5,3.73,7033,21658.8,22220.2,25358.92,66195.57,
28/12/2020,3.54,3.54,3.52,3.54,3.54,3.53,3.53,3.5,3.73,5207,23279.6,27411,25593.64,66224.87,
25/12/2020,3.5,3.56,3.5,3.54,3.53,3.53,3.52,3.5,3.73,37429,25646.2,29087.4,26736.84,93063.99,
24/12/2020,3.5,3.52,3.5,3.52,3.53,3.52,3.52,3.5,3.73,42011,21220.6,26025.5,25976.48,92774.27,
23/12/2020,3.54,3.54,3.3,3.54,3.53,3.53,3.53,3.5,3.73,16614,22103,25595.5,25181.12,92214.12,
22/12/2020,3.5,3.56,3.4,3.54,3.52,3.52,3.52,3.49,3.73,15137,22781.6,30204.2,25543.88,92085.93,
21/12/2020,3.52,3.56,3.5,3.52,3.52,3.52,3.52,3.49,3.73,17040,31542.4,29520.7,25342.84,92173.44,
18/12/2020,3.5,3.54,3.5,3.54,3.52,3.52,3.52,3.49,3.74,15301,32528.6,29146.7,24891.84,92066.24,
17/12/2020,3.5,3.54,3.5,3.5,3.52,3.52,3.52,3.49,3.74,46423,30830.4,29756.6,25254.96,91951.57,
16/12/2020,3.52,3.54,3.5,3.52,3.52,3.52,3.52,3.49,3.74,20007,29088,26144.3,24287.24,91703.27,
15/12/2020,3.52,3.56,3.52,3.52,3.52,3.52,3.51,3.49,3.74,58941,37626.8,25663.6,23974.96,91902.17,
14/12/2020,3.52,3.56,3.52,3.52,3.52,3.52,3.51,3.49,3.74,21971,27499,21329.5,22262.52,91749.76,
09/12/2020,3.56,3.56,3.5,3.52,3.53,3.53,3.5,3.49,3.74,6810,25764.8,21545.9,21751.68,92399.48,
08/12/2020,3.52,3.54,3.5,3.54,3.53,3.53,3.49,3.48,3.74,37711,28682.8,26963.4,21823.28,96163.35,
04/12/2020,3.54,3.54,3.5,3.52,3.52,3.53,3.49,3.48,3.74,62701,23200.6,27093.2,20722.88,98157.87,
03/12/2020,3.54,3.54,3.5,3.52,3.52,3.53,3.48,3.49,3.75,8302,13700.4,22363.7,18922.84,97425.85,
02/12/2020,3.56,3.56,3.52,3.54,3.52,3.53,3.47,3.49,3.75,13300,15160,22823.6,18966.76,97459.52,
01/12/2020,3.5,3.56,3.5,3.52,3.53,3.52,3.47,3.5,3.75,21400,17327,24872.3,18488.36,97382.35,
30/11/2020,3.52,3.54,3.5,3.5,3.53,3.52,3.46,3.5,3.75,10300,25244,24574.3,17708.36,97335.81,
27/11/2020,3.54,3.56,3.52,3.52,3.53,3.53,3.46,3.51,3.75,15200,30985.8,25757,17608.36,97334.72,
26/11/2020,3.54,3.56,3.5,3.52,3.53,3.53,3.46,3.51,3.75,15600,31027,26805.3,17568.36,97233.39,
25/11/2020,3.56,3.58,3.56,3.58,3.53,3.53,3.45,3.52,3.75,24135,30487.2,26256.4,17682.52,98846.83,
24/11/2020,3.5,3.56,3.5,3.54,3.52,3.51,3.45,3.52,3.76,60985,32417.6,24419.4,16941.16,98694.63,
23/11/2020,3.54,3.54,3.26,3.5,3.52,3.51,3.44,3.52,3.76,39009,23904.6,20758.8,14865.76,98077.49,
20/11/2020,3.52,3.54,3.5,3.52,3.52,3.5,3.44,3.53,3.76,15406,20528.2,19080.9,13337.4,97670.71,
19/11/2020,3.52,3.54,3.5,3.52,3.52,3.49,3.44,3.53,3.76,12901,22583.6,18760.3,13033.16,97586.63,
18/11/2020,3.5,3.54,3.5,3.5,3.52,3.48,3.44,3.53,3.76,33787,22025.6,19083.2,12553.12,97859.96,
17/11/2020,3.54,3.54,3.5,3.54,3.51,3.47,3.44,3.54,3.77,18420,16421.2,16624.5,11384.4,97526.8,
16/11/2020,3.54,3.54,3.4,3.54,3.5,3.45,3.44,3.54,3.77,22127,17613,15642.5,11078.92,97450.59,
13/11/2020,3.54,3.54,3.52,3.52,3.48,3.43,3.44,3.54,3.77,25683,17633.6,14449.9,12153.8,97323.51,
12/11/2020,3.48,3.5,3.42,3.5,3.45,3.41,3.43,3.55,3.77,10111,14937,13651.6,28179.24,97019.8,
11/11/2020,3.48,3.48,3.44,3.44,3.44,3.39,3.42,3.55,3.77,5765,16140.8,13580.5,33806.8,97042.32,
10/11/2020,3.46,3.58,3.44,3.48,3.42,3.39,3.43,3.56,3.77,24379,16827.8,13138,33948.24,97197.67,
09/11/2020,3.42,3.58,3.4,3.44,3.4,3.39,3.43,3.56,3.78,22230,13672,10890.1,33282.32,96892.85,
06/11/2020,3.4,3.4,3,3.4,3.38,3.38,3.44,3.57,3.78,12200,11266.2,9447.1,72517.28,96971.53,
